itemId	stem	note
318638286490	Lita_LIT1	2026 Topps Chrome WWE Lita Rebel by Design On-Card Auto /10 
318731377972	Triple-H_CCA-HHH	2026 Topps Cosmic Chrome WWE Triple H Autograph #CCA-HHH Leg
318731525182	Damaged-Damian_GPK-DP	2026 Topps Chrome WWE Damian Priest Garbage Pail Kids #GPK-D
318731522341	Liv-Morgan_86T-LM-gold	2026 Topps Chrome WWE Liv Morgan 1986 Topps Auto #86T-LM 35/
318731374308	Liv-Morgan_86T-LM-blue	2026 Topps Chrome WWE Liv Morgan 1986 Topps Auto #86T-LM Ref
318731377273	Ronald-Acuna-Jr_A-RAC	2026 Topps NOW Road to Opening Day Ronald Acuna Jr Auto #A-R
318731097217	Stephanie-Vaquer_RBA-STE	2026 Topps Chrome WWE Stephanie Vaquer Red Brand Auto #RBA-S
318731527044	Joe-Hendry_301	2026 Topps Chrome WWE Joe Hendry #301 RC Rookie Refractor NX
318731119307	Giulia_BBA-GIU	2026 Topps Chrome WWE Giulia Blue Brand Auto #BBA-GIU 004/15
318731072754	Tiffany-Stratton_BBA-TIF	2026 Topps Chrome WWE Tiffany Stratton Blue Brand Auto #BBA-
318731360579	Kendal-Grey_023	2025 Topps Royalty WWE Kendal Grey Rookie RC #023 78/99 Gold
318731369372	Alexa-Bliss_PPE-8	2026 Topps Cosmic Chrome WWE Alexa Bliss Planetary Pursuit E
318731365776	Rhea-Ripley_RBA-RHE	2026 Topps Chrome WWE Rhea Ripley Red Brand Auto #RBA-RHE Re
318731526728	Jacob-Fatu_GAM-10	2026 Topps Chrome WWE Jacob Fatu Gamut #GAM-10 SSP Case Hit 
318726606289	Cooper-Flagg_22	2025-26 Topps Inception Cooper Flagg #22 RC Rookie Dallas Ma
318731525928	Ciampa-Gargano_TTA-GC	2025 Topps Universe WWE Ciampa Gargano Tag Team Relic Auto #
318731348431	Cody-Rhodes_PPV-1	2026 Topps Cosmic Chrome WWE Cody Rhodes Planetary Pursuit V
318637897037	Joe-Hendry_169	2026 Topps Cosmic Chrome WWE - Joe Hendry #169 White Hole Re
318731060484	Cody-Rhodes_HOC-4	2026 Topps Chrome WWE Cody Rhodes House of Cards #HOC-4 SSP 
318731526188	Cody-Rhodes_PPS-1	2026 Topps Cosmic Chrome WWE Cody Rhodes Planetary Pursuit S
318731058526	Aleister-Black_EA-ALB	2026 Topps Cosmic Chrome WWE Aleister Black Equinox Auto Ora
318731347510	Jey-Uso_PPM-2	2026 Topps Cosmic Chrome WWE Jey Uso Planetary Pursuit Mercu
318731065243	Seth-Rollins_PPS-3	2026 Topps Cosmic Chrome WWE Seth Rollins Planetary Pursuit 
318731526426	IRS_CCA-IRS	2026 Topps Cosmic Chrome WWE IRS Autograph #CCA-IRS Legends 
318731378183	Moon-Knight_DS-11	2026 Topps Marvel Brooklyn Collection Moon Knight Distinguis
318699663629	Roxanne-Perez_65	2026 Topps Chrome #65 Roxanne Perez Refractor
